COSMIC_GENE_ID	GENE_SYMBOL	GENE_ACCESSION	ENTREZ_ID	HGNC_ID	IN_CANCER_CENSUS	IS_EXPERT_CURATED
COSG59257	AC079362.1	ENSG00000257165.5			n	n
COSG59266	GRID1-AS1	ENSG00000234942.2		44131	n	n
COSG59271	TTTY8B	ENSG00000185700.10		37622	n	n
COSG59275	AC234782.3	ENSG00000234345.2			n	n
COSG59302	DACT3	ENSG00000197380.10	147906	30745	n	n
COSG59880	AC006064.5	ENSG00000276232.1			n	n
COSG59887	PLIN2	ENSG00000147872.9	123	248	n	n
COSG59899	SLC26A1	ENSG00000145217.13	10861	10993	n	n
COSG59903	CA14	ENSG00000118298.10	23632	1372	n	n
COSG59905	AC016550.1	ENSG00000248195.1			n	n
COSG59908	MTND5P33	ENSG00000261904.1		51952	n	n
COSG59915	NHP2P1	ENSG00000105988.6		23582	n	n
COSG61125	DZIP1	ENSG00000134874.17	22873	20908	n	n
COSG61172	MIR607	ENSG00000207976.1		32863	n	n
COSG58353	RN7SKP124	ENSG00000201600.1		45848	n	n
COSG58364	GFRAL	ENSG00000187871.2	389400	32789	n	n
COSG58375	AL354676.1	ENSG00000229834.1			n	n
COSG58400	LINC01717	ENSG00000232812.1		52504	n	n
COSG60600	AC078886.1	ENSG00000258215.1			n	n
COSG60603	LARP1B	ENSG00000138709.17	55132	24704	n	n
COSG60619	SLC47A2	ENSG00000180638.17	146802	26439	n	n
COSG60627	SLC4A1	ENSG00000004939.14	6521	11027	n	n
COSG60645	CDY18P	ENSG00000232205.1		23862	n	n
COSG61205	FP325317.1	ENSG00000277737.3			n	n
COSG61225	AC016582.1	ENSG00000225868.7			n	n
COSG61226	GOLM1	ENSG00000135052.16	51280	15451	n	n
COSG61227	CNOT3	ENSG00000088038.18	4849	7879	y	y
COSG61237	BX295541.1	ENSG00000225858.1			n	n
COSG61245	AL669918.1	ENSG00000250264.1			n	n
COSG60067	POLD2P1	ENSG00000213730.3		41522	n	n
COSG60076	TPRA1	ENSG00000163870.14	131601	30413	n	n
COSG60085	SUCLG2-AS1	ENSG00000241316.6		49643	n	n
COSG60099	MIR4307	ENSG00000265165.1		38257	n	n
