"PUBCHEM_COMPOUND_CID","PUBCHEM_OPENEYE_ISO_SMILES"
"650001","CC1=CC(=NO1)NC(=O)CCC(=O)N(CC(=O)NC2CCCC2)C3=CC4=C(C=C3)OCCO4"
"650002","CN1C2=C(C(=O)NC1=O)N(C(=N2)NCCCO)CCCC3=CC=CC=C3"
"650003","CC(C)C1=NN=C(S1)NC(=O)C2=C(N3CCCC4=CC=CC(=C43)C2=O)O"
"650004","CCN1C2=C(N=C1SCC(=O)NCCC3=CC(=C(C=C3)OC)OC)N(C(=O)N(C2=O)C)C"
"650005","C1CCC(C1)NC(=O)C2C3CC(C2C(=O)N4CCOCC4)C=C3"
"650006","CCCN1C2=CC=CC=C2C(C1=O)(CC(=NO)C)O"
"650007","CCC1=NN=C(S1)NC(=O)C2=CC3=CC=CC=C3OC2=O"
"650008","C1CN(CCN1C2=NC=NC3=C2C=NN3C4=CC=CC=C4)S(=O)(=O)C5=CC=C(C=C5)F"
"650009","CCOC1=CC=C(C=C1)OCCSC2=NC(=O)C=C(N2)C"
"650010","CC1=NC2=CC(=NN2C(=C1)NCCN(C)C)C3=CC=CS3"
"650011","CCC(C1=NN=NN1CC2=CC=CO2)N(CCC3=CC=CC=C3)CC4=CC5=C(C(=CC=C5)C)NC4=O"
"650012","CC1=CC=CC=C1C2=NN=C(N2C)SCC(=O)NC3=CC=C(C=C3)OC"
"650013","C1CN(CCN1C2=CC(=NC3=NC=NN23)C(F)(F)F)C(=O)C4=CC=CO4"
"650014","CN1C(=O)C(SC1=O)NC2=CC=C(C=C2)F"
"650015","CCOC(=O)CN(C(C1=CC=CC=C1C)C(=O)NCCOC)C(=O)CN2C3=CC=CC=C3N=N2"
"650016","COC1=CC2=C(C=C1)N=C(C(=C2)C#N)SCC(=O)N3CCCCCC3"
"650017","CC(C(=O)NC1CCCCC1)OC(=O)C2=CC=CO2"
"650019","CCOC1=CC=CC=C1NC(=O)CSC2=NC3=C(N2C)N=CC=C3"
"650020","CC1CCCCC1NC(=O)CN2CCC(CC2)(C3=CC=C(C=C3)F)O"
"650021","CCOC1=CC=CC=C1C2C(=C(NC(=O)N2)C)C(=O)OC3CCCC3C"
"650022","CCC12CN3CC(C1=O)(CN(C2)C3C4=CC=C(C=C4)OCC=C)CC"
"650023","C1CCCN(CC1)C2=C(C=CC=N2)C(=O)NC3CCCC3"
"650024","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C(=O)NC3CCCCC3"
"650025","CC(=O)N(C)C1=NC(=CS1)C2=CC=C(C=C2)Cl"
"650026","CN1C2=C(C=C1C(=O)OC(C3=CC=NC=C3)C(=O)NC4CCCC4)SC=C2"
"650027","CCS(=O)(=O)C1=CC(=C(C=C1)O)N2C(=O)C3C4CC(C3C2=O)C=C4"
"650028","CC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCCC3"
"650029","CCOC(=O)C1=C(NC(=O)NC1C2=CC=C(C=C2)F)C"
"650030","C1=CC=C2C(=C1)C(OC2=O)NC3=NC4=CC=CC=C4S3"
"650031","CCCCSC1=NC(=O)C(=C(N1)C)CC(=O)OC"
"650032","C=CCOC1=CC=CC(=C1)C2C(=C(C(=O)N2CCN3CCOCC3)O)C(=O)C4=CC=CO4"
