idx1	idx2	score
0	0	0.114286
0	1	0.075472
0	2	0.061538
0	3	0.066038
0	4	0.134615
0	5	0.085106
0	6	0.083333
0	7	0.042857
0	8	0.058824
0	9	0.076923
0	10	0.054545
0	11	0.0625
0	12	0.0375
1	0	0.050847
1	1	0.126761
1	2	0.082353
1	3	0.0625
1	4	0.138889
1	5	0.088235
1	6	0.065421
1	7	0.103448
1	8	0.130952
1	9	0.048387
1	10	0.065789
1	11	0.072464
1	12	0.139785
2	0	0.1
2	1	0.087719
2	2	0.042254
2	3	0.063063
2	4	0.084746
2	5	0.098039
2	6	0.116279
2	7	0.04
2	8	0.054795
2	9	0.093023
2	10	0.05
2	11	0.076923
2	12	0.047619
3	0	0.072727
3	1	0.149254
3	2	0.126582
3	3	0.099174
3	4	0.144928
3	5	0.126984
3	6	0.11
3	7	0.094118
3	8	0.057471
3	9	0.068966
3	10	0.054054
3	11	0.126984
3	12	0.119565
4	0	0.115385
4	1	0.070423
4	2	0.060241
4	3	0.073171
4	4	0.068493
4	5	0.076923
4	6	0.089109
4	7	0.045455
4	8	0.045977
4	9	0.12963
4	10	0.132353
4	11	0.044776
4	12	0.096774
5	0	0.029851
5	1	0.048193
5	2	0.053191
5	3	0.059259
5	4	0.072289
5	5	0.065789
5	6	0.09009
5	7	0.072917
5	8	0.073684
5	9	0.058824
5	10	0.142857
5	11	0.094595
5	12	0.056075
6	0	0.043478
6	1	0.168831
6	2	0.051546
6	3	0.081481
6	4	0.121951
6	5	0.063291
6	6	0.068966
6	7	0.104167
6	8	0.09375
6	9	0.056338
6	10	0.05814
6	11	0.037037
6	12	0.126214
7	0	0.068493
7	1	0.090909
7	2	0.090909
7	3	0.101449
7	4	0.088889
7	5	0.125
7	6	0.111111
7	7	0.154639
7	8	0.09901
7	9	0.065789
7	10	0.102273
7	11	0.084337
7	12	0.089286
8	0	0.0
8	1	0.0
8	2	0.0
8	3	0.0
8	4	0.0
8	5	0.0
8	6	0.0
8	7	0.0
8	8	0.0
8	9	0.0
8	10	0.0
8	11	0.0
8	12	0.0
9	0	0.055556
9	1	0.086957
9	2	0.048193
9	3	0.056452
9	4	0.040541
9	5	0.029851
9	6	0.048077
9	7	0.096386
9	8	0.084337
9	9	0.052632
9	10	0.101449
9	11	0.061538
9	12	0.041237
